text,y_true,y_pred,score,abs_score
riveting tail with great twists and two incredible endings. recommend this as a great read by a warm fire on a cold night,0,1,0.9997418710059214,0.9997418710059214
i really like this book. it was refreshing. i was pleasantly surprise that the focus was on family and not lesbianism so much.,0,1,0.9995445437971429,0.9995445437971429
"david holt starts with how to hold and tune the 5-string banjo and progresses from there. for the beginner, this is an excellent place to start. he describes and displays instructions that are clear and concise, then leaves plenty of time for you to practice and play along. his good humored approach is refreshing and easy to follow. it's like having a friend in the room, sharing his joy of playing, and helping you learn.",0,1,0.9995410035660898,0.9995410035660898
"this is warm, beautiful, soft and a fabulous bargain! i highly recommend it... and buy the matching sheets! they're a wonderful combination!",0,1,0.9994143289835301,0.9994143289835301
"love the green color, shapens well, easy to use, easy to empty, and it holds up to kids. low price and fast delivery. glad we got it.",0,1,0.9992392351085806,0.9992392351085806
wow! this book was amazing! this book is a rival for the infamous harry potter series. i absoloutly loved this book. percy is a cool kid. this series is probably the best i have read in a long time. i would recomend this book series to anyone. by an anonymous fan.,0,1,0.9992132370570947,0.9992132370570947
this condom is extremely thin and feels very comfortable and sensitive. it's also well lubricated and gives me much more pleasure than the other brands i've used before. i'm very satisfied with these condoms and would definitely get more for myself and my wife when we are out of them.,0,1,0.9992108300958782,0.9992108300958782
"i got these shoes for my son for a school banquet, they are comfortable stylish and attractive. h was pleased with the price and he is happy with the fit. the shipment arrived in record time, and as an added bonus he placed second in the best dressed competition at the banquet.",0,1,0.9991779123276086,0.9991779123276086
the whole love comes softly series is just great! our family views them over and over because they have such excellent life messages.,0,1,0.9991239192109443,0.9991239192109443
this is a real treat for anyone who loves comics. the special features alone were worth the movie price. mark hamill really gave a heart felt love letter to the comic fans. i really enjoyed picking out the voice over talents of some of my favorite cartoon stars as well. mark truley hired a great grup of men and women who are all talents we dont get to see infront of a camera and gave them a plat form to do their stuff. his integration of the fictional comic book charater in to a real life comic book convention was fantastic. and of course it is always great to see kevin smith and stan lee.i believe everyone who loves comics as i do will get the inside jokes and the love of the industry and if you werent a comic fan before you just might be after you watch.great job mark!!!!,0,1,0.9991188457229095,0.9991188457229095
"i watched the movie on cartoon network about two years ago. it's an excellent movie, i tell you. it's facinating!!! i loved the characters and their personalities. i seriously loved the art designs animation. it brings out the true life of the movie. in my opinion, this dvd is great! you should get this dvd and soon. it rocks! !",0,1,0.9989630516874359,0.9989630516874359
"the black decker gismo electric can opener is a terrific addition to kitchen tools. it is easy to use, handy, and a great improvement over the old style can openers. a great gift for others and for yourself!",0,1,0.9989151583221126,0.9989151583221126
austin has combined a terrific story with excellent characters for a marvelous read. this is his first book in the beauford sloan series. i really look forward to the next.,0,1,0.998883541071204,0.998883541071204
"the author created a masterpiece with this book, combining his vast experience of producing humanure with scientific insight, and great humor which made the book fun to read. i'm convinced that composting manure is the safest way to safely deal with our own excrement. our society has got to be crazy to be flushing this immensely valuable resource to be dealt with later as it ends up polluting our rivers, oceans, and drinking water. i highly recommend this book to any concious reader who would like to greatly reduce their impact upon this earth.",0,1,0.9987535767150021,0.9987535767150021
"...if you enjoyed misty's and reesy's antics in ""scenes from a sistah"" and ""gettin' to the good part"" you'll love ""tastes like chicken"".the story picks up with reesy preparing to get married. only a ""surprise"" guest shows up at the wedding and the nuptials are halted. this is where the drama begins...the story revolves around reesy who embarks on a trip across county to get away from the madness, misty and reesy's parents.i loved the book...my only complaint is to ms. files. don't leave us waiting several years for a sequel. we tend to forget the essential pieces to the story.",0,1,0.9986663132802076,0.9986663132802076
heard this cd several yrs. ago. still love it- kudos for ncw spindale- turned me on to an amazing lady. one of my favorites,0,1,0.9986303990911682,0.9986303990911682
"after using this gps for several years, i have never had a problem with it. i did note that the professional reviewers were still rating this as one of the best units 'out there' and a great buy for the money. accuracy is excellent as is battery life. anyone can use this as the directions are well done and the unit is well designed for easy use. a real keeper.",0,1,0.9985167665784405,0.9985167665784405
"back in the late 70s, pop-rock bands like journey (i.e. styx, kansas, reo speedwagon) ruled the american rock music layout. powerful tunes with wonderful vocal queen-esque works, awesome guitar riffs, keyboards and drums, as well as very good, mellow ballads were the standards in those days.""infinity"" was one of the best musical products of that era. however, why to spoil so much an excellent album, reissuing it on an ""enhanced"" version...???? hey... try to play this cd on some older cd players (portable car home) and you'll have some problems... my suggestion: try to get any good european (germany-holland-france), older 1990s reissue of this great journey album, you will get equal outstanding sound quality, without the reproduction problems!!",0,1,0.998459787533669,0.998459787533669
"this legendary 16mm film has circulated for years among collectors, and it still remains at the best document of the extraordinary gabriel's era. it's simply one of the most extremely interesting performances i've ever seen, with gabriel at his best as theatrical frontman, and with such an excellent voice.the entire band is mind-blowing, featuring the truly best ever version of supper's ready i've ever had the pleasure to watch and listen to. this gem can't keep hidden anymore!. it's clear it was filmed for an official video. by the way, cameras work is simply astounding. what a difference with the stupid mtv style of the today's dvd's!. both the filming and performance makes shepperton 1973 more than a concert video, rather is a treasure, a document of art at its most unique.shepperton 1973 has been unequalled. we need it on dvd!now now now now ...http: www.saunalahti.fi kotti shepperton",0,1,0.9983892293194649,0.9983892293194649
